country,policy_name,decision_date,start_date,end_date,,,,,,,,,,,,,,,,,,,
USA,Marine and Hydrokinetic Technology Database United States of America (2009),2009,,,,,,,,,,,,,,,,,,,,,
USA,Fusion Energy Sciences (FES) programme United States of America (2003),2003,,,,,,,,,,,,,,,,,,,,,
USA,General Aviation Fuel Tax (GAFT) United States of America (2019),2019,,,,,,,,,,,,,,,,,,,,,
USA,"Executive Order 13423: Strengthening Federal Environmental, Energy, and Transportation Management United States of America (2007)",2007,,,,,,,,,,,,,,,,,,,,,
USA,Forest Ecosystem Restoration and Hazardous Fuels Reduction Programs United States of America (2000),2000,,,,,,,,,,,,,,,,,,,,,
USA,ENERGY STAR National Campaigns United States of America (2005),2005,,,,,,,,,,,,,,,,,,,,,
USA,Executive Order 13653: Preparing the United States for the Impacts of Climate Change United States of America (2013),2013,,,,,,,,,,,,,,,,,,,,,
USA,Mobile Air Conditioning Climate Protection Partnership United States of America (1999),1999,,,,,,,,,,,,,,,,,,,,,
USA,Saving Energy in Data Centers United States of America (2008),2008,,,,,,,,,,,,,,,,,,,,,
USA,USDA - Biorefinery Assistance Program United States of America (2013),2013,,,,,,,,,,,,,,,,,,,,,
USA,Advanced Energy Design Guides (AEDG) United States of America (2006),2006,,,,,,,,,,,,,,,,,,,,,
USA,Energy Policy and Conservation Act United States of America (1975),1975,,,,,,,,,,,,,,,,,,,,,
USA,Qualified Energy Conservation Bonds (QECBs) United States of America (2008),2008,,,,,,,,,,,,,,,,,,,,,
USA,New Source Performance Standards (NSPS) for Coal Plants United States of America (1977),1977,,,,,,,,,,,,,,,,,,,,,
USA,Federal Energy Management Program (FEMP) United States of America (1978),1978,,,,,,,,,,,,,,,,,,,,,
USA,Smart Grid Development United States of America (2008),2008,,,,,,,,,,,,,,,,,,,,,
USA,Expansion of the Save Energy Now Campaign United States of America (2007),2007,,,,,,,,,,,,,,,,,,,,,
USA,Industrial Technologies Program: BestPractices United States of America (1970),1970,,,,,,,,,,,,,,,,,,,,,
USA,Clean Fuels Grant Program United States of America (1999),1999,,,,,,,,,,,,,,,,,,,,,
USA,Colorado Regulation No. 7: Control of Ozone Precursors and Control of Hydrocarbons via Oil and Gas Emissions United States of America (2019),2019,,,,,,,,,,,,,,,,,,,,,
USA,Greening of the National Park Service United States of America (1999),1999,,,,,,,,,,,,,,,,,,,,,
USA,Energy Policy Act United States of America (1992),1992,,,,,,,,,,,,,,,,,,,,,
USA,National Forest Management Act United States of America (1976),1976,,,,,,,,,,,,,,,,,,,,,
USA,SF6 Emission Reduction Partnership for the Magnesium Industry United States of America (1999),1999,,,,,,,,,,,,,,,,,,,,,
